effect,est,se,t
(Intercept),-0.014755456522,0.0137617904628,-1.0722047078
saccLatCen2,-5.28166779819e-05,6.69903306807e-05,-0.788422410297
stim_typeobject,-0.129769218967,0.0539543241454,-2.40516809398
devAngleyes,-0.000832712751695,0.0036685879871,-0.226984538635
saccLatCen2:stim_typeobject,-0.000123745484399,4.65093251285e-05,-2.66065964314
