effect,est,se,t
(Intercept),-0.000340759456308,0.0400943473519,-0.0084989400954
saccLat2,-3.27835826359e-05,0.000101682426495,-0.322411490027
stim_typeobject,-0.105094353464,0.0395815069538,-2.65513775376
saccLat2:stim_typeobject,-4.70969477713e-05,4.39209687283e-05,-1.0723112248
