effect,est,se,t
(Intercept),0.0339275931762,0.0206694786786,1.64143439241
saccLat1,-0.000431477271509,0.00010752340821,-4.01286825532
response_handright,-0.0127422573305,0.021003561306,-0.606671275642
y_stim,8.87404102917e-06,7.37381640549e-05,0.120345293959
saccLat1:response_handright,0.000117266741901,0.000117174689233,1.00078560199
saccLat1:y_stim,9.94894503391e-09,4.14994938016e-07,0.0239736539474
response_handright:y_stim,-0.000148607002894,0.000101611857619,-1.46249666503
saccLat1:response_handright:y_stim,8.30151889988e-07,5.67530711321e-07,1.46274355454
