effect,est,se,t
(Intercept),-0.0418450794659,0.0133418347756,-3.13638117768
saccLat1,-4.77456453163e-05,5.52174182481e-05,-0.864684493248
stim_typeobject,0.0216682133266,0.0218912947797,0.989809581602
correct_response,0.00212073321436,0.00178400503442,1.18874844714
ecc,0.000199678142282,4.47585430212e-05,4.46122971849
visual_fieldupper,0.00517757261744,0.001811388668,2.85834437905
devAngleyes,0.00106938458407,0.00187777156121,0.569496634285
saccLat1:stim_typeobject,-0.000256913586459,4.12003064184e-05,-6.23572028446
