effect,est,se,t
(Intercept),0.0105309831334,0.0336246127081,0.313192696815
saccLat2,-6.41518898453e-05,0.0236657205852,-0.00271075159593
stim_typeobject,-0.0779734866532,0.112868285821,-0.690836102331
devAngleyes,-0.000881569082489,0.00366307476018,-0.240663688351
saccLat2:stim_typeobject,-0.000131600260694,4.74567645468e-05,-2.7730558952
