object,xCog
chisel,24.576435581823716
chisel2,1.2057513206389672
mallet,-36.452505201171562
paintbrush,-33.204598777465947
screwdriver,53.813870413628194
wrench,-21.125807855262337
fork,-32.168413669250413
knife,1.81524104517257
peeler,-0.7641027480845537
sharpeningsteel,21.753456823547083
spoon,-13.457867994280718
spoon2,-12.0262630063948
washingbrush,-30.890600736956571
hammer,-49.238039648442907
