"('fork', 'mask_right', 'left')","(26.906104436066244, -1.4303430411453064, 'correction awayHandle')"
"('mallet', 'mask_left', 'left')","(38.417787226670725, 0.027681000642985509, 'correction awayHandle')"
"('leveller', 'mask_right', 'right')","(-8.2261945679998121, 0.49788637881880504, 'correction smaller than 15')"
"('leveller', 'mask_right', 'left')","(-16.306957121133223, 1.4737717295593029, 'correction towardsHandle')"
"('chisel', 'mask_control', 'left')","(-24.576435581823716, -3.0972598783415037, 'correction towardsHandle')"
"('screwdriver', 'mask_right', 'right')","(52.294279726102161, -4.7789043831063509, 'correction towardsHandle')"
"('sharpeningsteel', 'mask_right', 'left')","(-31.081260532930287, -9.331081844992525, 'correction towardsHandle')"
"('screwdriver', 'mask_control', 'left')","(-53.813870413628194, -5.4217989138840039, 'correction towardsHandle')"
"('screwdriver', 'mask_right', 'left')","(-59.462521649608789, -6.0148300326792992, 'correction towardsHandle')"
"('chisel', 'mask_control', 'right')","(24.576435581823716, -3.0972598783415037, 'correction towardsHandle')"
"('screwdriver', 'mask_left', 'right')","(59.462521649608789, -6.0148300326792992, 'correction towardsHandle')"
"('mallet', 'mask_left', 'right')","(-27.087074776703446, 0.31743253448541964, 'correction awayHandle')"
"('screwdriver', 'mask_control', 'right')","(53.813870413628194, -5.4217989138840039, 'correction towardsHandle')"
"('screwdriver', 'mask_left', 'left')","(-52.294279726102161, -4.7789043831063509, 'correction towardsHandle')"
"('sharpeningsteel', 'mask_left', 'left')","(-22.208294249398705, -7.8148430064542822, 'correction towardsHandle')"
"('carrot', 'mask_control', 'left')","(-7.0531931783484652, -2.5414449808951076, 'correction smaller than 15')"
"('leveller', 'mask_left', 'left')","(8.2261945679998121, 0.49788637881880504, 'correction smaller than 15')"
"('peeler', 'mask_left', 'left')","(-0.49015052232147127, -5.9844664768792768, 'correction smaller than 15')"
"('wrench', 'mask_left', 'left')","(26.720212127349498, 1.4849468311979876, 'correction awayHandle')"
"('spoon', 'mask_left', 'left')","(20.298222352365713, -7.7038807775127793, 'correction awayHandle')"
"('chisel', 'mask_left', 'left')","(-22.763439874463586, -2.5301406735121077, 'correction towardsHandle')"
"('paintbrush', 'mask_left', 'right')","(-26.669866316548337, -0.11406582563898837, 'correction awayHandle')"
"('roller', 'mask_control', 'right')","(-2.5119474817734613, -1.662906206719299, 'correction smaller than 15')"
"('spoon2', 'mask_control', 'right')","(-12.0262630063948, 2.464755894331347, 'correction smaller than 15')"
"('paintbrush', 'mask_control', 'left')","(33.204598777465947, 0.17298096490725356, 'correction awayHandle')"
"('hammer', 'mask_left', 'left')","(47.736863275582721, 6.026263382156742, 'correction awayHandle')"
"('mallet', 'mask_right', 'left')","(27.087074776703446, 0.31743253448541964, 'correction awayHandle')"
"('peeler', 'mask_right', 'left')","(-3.9751845896551004, -6.3319936802064376, 'correction smaller than 15')"
"('chisel2', 'mask_control', 'left')","(-1.2057513206389672, -1.2852461995062754, 'correction smaller than 15')"
"('wrench', 'mask_right', 'left')","(12.237949906364179, 1.481354370711756, 'correction smaller than 15')"
"('spoon', 'mask_control', 'right')","(-13.457867994280718, -7.2922928150542248, 'correction smaller than 15')"
"('washingbrush', 'mask_left', 'right')","(-24.774145565133949, -12.37221281341283, 'correction awayHandle')"
"('knife', 'mask_right', 'right')","(-3.1534946826955661, -7.5090803839927958, 'correction smaller than 15')"
"('carrot', 'mask_left', 'right')","(11.740345771941293, -3.0927267535474243, 'correction smaller than 15')"
"('spoon2', 'mask_left', 'right')","(2.3175056379755574, 1.7783578475708737, 'correction smaller than 15')"
