effect,est,ci95lo,ci95up,p
(Intercept),0.036775834815,0.0198215113764,0.0550596521426,1.82310009316e-05
saccLat1,-7.23356393514e-05,-0.000152663250125,2.09840785598e-06,0.0585890641198
contrast_sideright,0.0215079497364,0.0141233109176,0.0290958881197,2.20433253872e-08
response_handright,0.00797630917792,0.000297679068267,0.0152587865847,0.0377575720904
handle_sideright,-0.00382904866934,-0.011118893676,0.00390212331514,0.318534709931
y_stim,9.3923343126e-06,-9.23969417263e-06,2.84640195119e-05,0.323790336115
