effect,est,ci95lo,ci95up,p
(Intercept),0.0234294953969,0.00424818641912,0.0432149595752,0.0137863479833
saccLat1,6.8727208436e-06,-8.13290613312e-05,8.90160545976e-05,0.872994203118
contrast_sideright,0.0230880717839,0.0143752952992,0.0314508347301,1.42072382525e-07
response_handright,-0.00154723909576,-0.0100051616241,0.00711390965245,0.723986323227
handle_sideright,-0.000148850119467,-0.00868977637601,0.00860085654589,0.972897693732
y_stim,2.89421218791e-05,8.90317964634e-06,5.13783601234e-05,0.00774689651785
