effect,est,ci95lo,ci95up,p
(Intercept),-0.175321697221,-0.235432888408,-0.114568203826,7.6376985958e-07
saccLat2,-2.00011630319e-05,-9.60252214018e-05,6.32572171188e-05,0.624900091509
response_handright,0.00184138365372,-0.0112980406295,0.0148770362298,0.780967465861
y_stim,1.27335059989e-05,-1.7909893522e-05,4.63338090043e-05,0.436807218638
