effect,est,ci95lo,ci95up,p
(Intercept),-0.108414504399,-0.17023080797,-0.0514471040211,0.000913775419917
saccLat2,-0.000147773851302,-0.000250617700257,-5.02595205335e-05,0.00395003714974
response_handright,0.0126787743784,-0.000551401578978,0.0258624109135,0.0601671718566
y_stim,-2.21393104984e-05,-5.30251158408e-05,1.19505475291e-05,0.180115282944
