effect,est,ci95lo,ci95up,p
(Intercept),-0.104289813702,-0.148722295908,-0.059623731654,4.23200840416e-06
saccLat2,0.000184096714215,7.99903214123e-05,0.000295281832888,0.000790067913834
response_handright,-0.0234147107842,-0.0401267919679,-0.0057664714263,0.00843993191355
handle_sideright,-0.00919700647967,-0.0264289444443,0.00899339589454,0.30101920558
y_stim,2.12478172635e-05,-1.9246189205e-05,6.65996099998e-05,0.327009292929
