effect,est,ci95lo,ci95up,p
(Intercept),-0.118159468265,-0.178785302451,-0.0618018561335,0.000404240250944
saccLat2,-1.66362433038e-05,-9.71559957579e-05,6.38959752774e-05,0.685405447154
response_handright,0.0037324677354,-0.00982296055084,0.0163104972674,0.57482603276
y_stim,4.62424155991e-06,-2.86155818864e-05,3.52442736184e-05,0.778491154377
