_prepare,_run,aff_lum,align,background,blockNr,block_total,cal_beep,cal_target_size,canvas_backend,cat,catch,catch_trial,column_order,comp,compensation,content,coordinates,correct_garage,correct_garage_label,correct_kitchen,correct_kitchen_label,correct_response,count_CoG_dictionary,count_Description,count_block_loop,count_block_sequence,count_determine_CoG,count_display_fixation_and_stimulus,count_experiment,count_experimental_loop,count_extra_log_vars,count_eyelink_calibrate,count_get_block_properties,count_get_trial_properties,count_global_functions,count_global_variables,count_goodbye,count_logger,count_reset_feedback,count_suppress_warnings,count_trial_sequence,cutoff,cycles,description,dev_for_warning,duration,feedback_dur,fix_lost,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,gap,handle_side,height,item,jitter,keyboard_backend,label1,label2,language,large_fix_col,large_fix_size,letter,mask_side,max_dev_fix,max_dev_object,max_samples,maxchar,min_samples_fix,min_samples_object,mouse_backend,note,nr_catch,object,offset,order,overall_rep,pict,practice,rep,repeat,repeat_cycle,response,response1,response2,response_goodbye,response_hand,response_time,response_time_goodbye,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,scale,scale_stim,scaled_height,scaled_width,skip,start,subject_nr,subject_parity,symm,synth_backend,time_CoG_dictionary,time_Description,time_block_loop,time_block_sequence,time_determine_CoG,time_display_fixation_and_stimulus,time_experiment,time_experimental_loop,time_extra_log_vars,time_eyelink_calibrate,time_get_block_properties,time_get_trial_properties,time_global_functions,time_global_variables,time_goodbye,time_logger,time_reset_feedback,time_suppress_warnings,time_trial_sequence,timeout_dur,title,tracker_attached,trials_per_block,visual_field,width,xCoG,x_stim_corr,y_cen,y_fix,y_fix_normal,y_stim,y_stim_degrees
NA,NA,overlap,NA,white,4,6,NA,NA,psycho,kitchen,no,no,NA,compatible,0,NA,relative,1,bouton 1,2,bouton 2,2,0,0,3,3,308,308,0,0,308,0,3,308,0,0,0,308,3,0,308,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,overlap,right,768,NA,433.483405034,psycho,bouton 1,bouton 2,French,black,32,A,left,25,50,4000,NA,50,50,psycho,NA,8,roller,NA,NA,19,symm_kitchen_roller,no,2,NA,0,NA,1,2,NA,right,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,symm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,upper,1024,8.2230146991,-8.2230146991,384,0,384,226,6
NA,NA,overlap,NA,white,4,6,NA,NA,psycho,garage,no,no,NA,incompatible,0,NA,relative,1,bouton 1,2,bouton 2,1,0,0,3,3,309,309,0,0,309,0,3,309,0,0,0,309,3,0,309,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,zero,right,768,NA,422.509142484,psycho,bouton 1,bouton 2,French,black,32,A,left,25,50,4000,NA,50,50,psycho,NA,8,chisel,NA,NA,19,asymm_garage_chisel,no,2,NA,0,NA,1,2,NA,left,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,asymm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,lower,1024,36.6160641938,-36.6160641938,384,0,384,-196,-6
NA,NA,overlap,NA,white,4,6,NA,NA,psycho,kitchen,no,no,NA,incompatible,0,NA,relative,1,bouton 1,2,bouton 2,2,0,0,3,3,310,310,0,0,310,0,3,310,0,0,0,310,3,0,310,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,overlap,left,768,NA,382.368375535,psycho,bouton 1,bouton 2,French,black,32,F,right,25,50,4000,NA,50,50,psycho,NA,8,peeler,NA,NA,18,asymm_kitchen_peeler,no,2,NA,0,NA,1,2,NA,right,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,asymm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,upper,1024,-3.9751845897,3.9751845897,384,0,384,203,5
NA,NA,opposite,NA,white,4,6,NA,NA,psycho,garage,no,no,NA,incompatible,0,NA,relative,1,bouton 1,2,bouton 2,1,0,0,3,3,311,311,0,0,311,0,3,311,0,0,0,311,3,0,311,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,overlap,right,768,NA,460.369287197,psycho,bouton 1,bouton 2,French,black,32,C,right,25,50,4000,NA,50,50,psycho,NA,8,leveller,NA,NA,19,symm_garage_leveller,no,2,NA,0,NA,1,2,NA,left,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,symm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,lower,1024,-8.226194568,8.226194568,384,0,384,-179,-6
NA,NA,control,NA,white,4,6,NA,NA,psycho,garage,no,no,NA,incompatible,0,NA,relative,1,bouton 1,2,bouton 2,1,0,0,3,3,312,312,0,0,312,0,3,312,0,0,0,312,3,0,312,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,zero,right,768,NA,364.131992453,psycho,bouton 1,bouton 2,French,black,32,D,control,25,50,4000,NA,50,50,psycho,NA,8,hammer,NA,NA,19,asymm_garage_hammer,no,1,NA,0,NA,1,2,NA,left,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,asymm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,lower,1024,-49.2380396484,49.2380396484,384,0,384,-218,-7
NA,NA,control,NA,white,4,6,NA,NA,psycho,garage,no,no,NA,incompatible,0,NA,relative,1,bouton 1,2,bouton 2,1,0,0,3,3,313,313,0,0,313,0,3,313,0,0,0,313,3,0,313,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,zero,right,768,NA,362.926056381,psycho,bouton 1,bouton 2,French,black,32,D,control,25,50,4000,NA,50,50,psycho,NA,8,wrench,NA,NA,17,asymm_garage_wrench,no,2,NA,0,NA,1,2,NA,left,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,asymm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,upper,1024,-21.1258078553,21.1258078553,384,0,384,209,6
NA,NA,control,NA,white,4,6,NA,NA,psycho,garage,no,no,NA,incompatible,0,NA,relative,1,bouton 1,2,bouton 2,1,0,0,3,3,314,314,0,0,314,0,3,314,0,0,0,314,3,0,314,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,overlap,right,768,NA,465.582195624,psycho,bouton 1,bouton 2,French,black,32,D,control,25,50,4000,NA,50,50,psycho,NA,8,paintbrush,NA,NA,18,asymm_garage_paintbrush,no,2,NA,0,NA,1,2,NA,left,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,asymm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,lower,1024,-33.2045987775,33.2045987775,384,0,384,-199,-6
NA,NA,overlap,NA,white,4,6,NA,NA,psycho,kitchen,no,no,NA,compatible,0,NA,relative,1,bouton 1,2,bouton 2,2,0,0,3,3,315,315,0,0,315,0,3,315,0,0,0,315,3,0,315,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,overlap,right,768,NA,439.926921779,psycho,bouton 1,bouton 2,French,black,32,A,left,25,50,4000,NA,50,50,psycho,NA,8,carrot,NA,NA,17,symm_kitchen_carrot,no,1,NA,0,NA,1,2,NA,right,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,symm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,lower,1024,11.7403457719,-11.7403457719,384,0,384,-217,-7
NA,NA,opposite,NA,white,4,6,NA,NA,psycho,garage,no,no,NA,compatible,0,NA,relative,1,bouton 1,2,bouton 2,1,0,0,3,3,316,316,0,0,316,0,3,316,0,0,0,316,3,0,316,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,zero,left,768,NA,445.352376065,psycho,bouton 1,bouton 2,French,black,32,E,left,25,50,4000,NA,50,50,psycho,NA,8,mallet,NA,NA,17,asymm_garage_mallet,no,2,NA,0,NA,1,2,NA,left,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,asymm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,lower,1024,38.4177872267,-38.4177872267,384,0,384,-211,-7
NA,NA,overlap,NA,white,4,6,NA,NA,psycho,kitchen,no,no,NA,incompatible,0,NA,relative,1,bouton 1,2,bouton 2,2,0,0,3,3,317,317,0,0,317,0,3,317,0,0,0,317,3,0,317,85,NA,Logs experimental data,150,NA,0,no,no,mono,no,18,NA,black,zero,left,768,NA,401.48965571,psycho,bouton 1,bouton 2,French,black,32,F,right,25,50,4000,NA,50,50,psycho,NA,8,spoon2,NA,NA,18,asymm_kitchen_spoon2,no,2,NA,0,NA,1,2,NA,right,NA,NA,NA,NA,legacy,3,yes,180,240,NA,experiment,0,even,asymm,legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.33695793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,Orientation effect,NA,108,upper,1024,-2.317505638,2.317505638,384,0,384,192,5
