effect,est,se,t
(Intercept),-0.175321461562,0.0353002199387,-4.9665826974
saccLat2,-2.00016417661e-05,4.09000595337e-05,-0.489036984154
response_handright,0.00184137052213,0.00662102025518,0.278109785375
y_stim,1.27335447993e-05,1.63708036343e-05,0.777820385839
