-,-,[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[MEAN],[95ci]
-,-,[non-object],[non-object],[non-object],[non-object],[non-object],[non-object],[object],[object],[object],[object],[object],[object],-,-
-,-,[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],-,-
-,-,[-20.0],[0.0],[20.0],[160.0],[180.0],[200.0],[-20.0],[0.0],[20.0],[160.0],[180.0],[200.0],-,-
[file],[004C11.asc],0.024870963123,0.0191873139529,-0.0208876205265,-0.0200585408631,-0.0110203314817,-0.0175315534433,-0.0124713209894,-0.0297561609603,0.0112739958986,-0.00572779270742,0.000830524263633,-0.0290220808189,-0.00752605037937,0.0181366177495
[file],[004C12.asc],0.00709732909908,0.0148016738716,0.0200860770988,0.00662325154611,-0.0200137177786,-0.00380123894499,0.0194376712091,-0.0452737336435,-0.0234458353831,-0.0174238915891,-0.00203116875327,-0.0463690212847,-0.00752605037937,0.0231342439715
[file],[004C13.asc],-1.44415924008e-05,-0.0186124079323,0.00284765222479,0.0260969708025,0.0257747168396,-0.0361474333108,-0.0239009149054,-0.0202192082878,0.00731725722691,0.0182272290259,-0.0010830181197,-0.0705990065237,-0.00752605037937,0.0280876802434
[file],[004C15.asc],-0.0166308145493,-0.0143033541417,0.00574549934738,0.036748948431,-0.0226756163597,0.0236374899276,-0.0378796617502,0.00328480978247,-0.00726310990909,0.0494322436521,-0.0723515306303,-0.0380575083527,-0.00752605037937,0.0342224797938
[file],[004C16.asc],-0.00949556611459,0.000743625522023,0.00986031822572,0.0114379198902,-0.0154045454781,0.0193810677813,-0.0201260185186,0.0180902859767,-0.0216841301756,-0.0227419693782,-0.0289629037903,-0.0314106884929,-0.00752605037937,0.0185795442943
[file],[004C18.asc],-0.0037789963098,-0.00477544963104,0.00286524700724,0.0278232558546,0.000891021928723,0.0276893394516,-0.0127958297071,0.000249153943811,-0.0189256337521,-0.0256053659775,-0.0243874030016,-0.0595619443592,-0.00752605037937,0.0237930576639
[file],[004C19.asc],-0.0239328433671,0.00626881136799,-0.00501670223066,0.000684358123801,-0.011587263309,0.0210650224438,-0.0389733230529,-0.00478864457577,0.000938863352356,0.0171601660484,-0.0315293347925,-0.0206017145609,-0.00752605037937,0.0185662221395
[file],[004C2.asc],-0.0402226271365,0.00780624307611,-0.00188806587244,-0.0560464959584,-0.0236251380582,0.00375654355484,-0.00785343272457,0.000987967047558,0.0507544392341,0.00646122054657,-0.042166848686,0.0117235904244,-0.00752605037937,0.029095503996
[file],[004C22.asc],0.00251973670631,0.0091239093018,0.00720723134523,-0.0355592080845,-0.00926354765392,0.00668377026292,-0.0269750328713,-0.00289234175685,0.025963188646,-0.0383734842458,0.00305534378098,-0.0318021699833,-0.00752605037937,0.0208023770144
[file],[004C4.asc],-0.0110133734375,-0.00735533658865,0.0454733844961,0.0103452389341,-0.0349465007229,-0.00289806073749,-0.00463307635413,-0.0355942098747,0.016779919317,-0.0812926296815,0.0013587593414,0.0134632807557,-0.00752605037937,0.0319968523389
[file],[004c1.asc],0.00254912599281,-0.00391949205095,0.00619768906908,0.00658219968475,0.006647231906,0.0202174437679,-0.0147042759554,-0.00488201225243,-0.0357380824875,-0.0301339980819,-0.0517097588509,0.00858132470607,-0.00752605037937,0.0214257430675
[file],[004c10.asc],0.00153586099025,0.0188499453537,0.0158189794405,0.0189079175549,0.0145800521228,-0.0265288858864,-0.00951030590949,-0.0221004206554,0.00242491491541,-0.00970389774316,-0.0506990384715,-0.0438877262641,-0.00752605037937,0.0240785393587
[file],[004c14.asc],0.00688565181115,0.0132532868569,0.00192654704722,0.000547711469874,-0.0134503459051,-0.00944655680833,-0.00388535678406,-0.00926455701103,-0.0026714398078,-0.0356824833793,0.000234723155886,-0.0387597851978,-0.00752605037937,0.0156704866831
[file],[004c5.asc],0.00143406777459,0.0205279984938,-0.0119558148669,-0.0259882160923,-0.0105071916917,0.0030819623455,-0.0106206034892,0.00262172664564,-0.0300644870192,0.000531769645441,0.0234631264891,-0.0528369427871,-0.00752605037937,0.0214223209213
[file],[004c6.asc],-0.0188896560855,-0.0205477616632,-0.0463178358804,-0.0382456566186,0.0384579117455,0.0772782025469,0.0366696709507,-0.0316008939036,0.0241621198214,-0.0983315304379,0.00421154695376,-0.0171587219814,-0.00752605037937,0.0467747738769
[file],[004c7.asc],-0.0230827147998,-0.0154786532021,0.00276999368608,0.0232170994359,0.00100504678579,-0.00977125220261,-0.0199602879485,-0.00354592258529,0.00537663600731,-0.0151231338078,-0.0178272200298,-0.0178921958917,-0.00752605037937,0.0136263173719
[file],[004c8.asc],-0.0112278335673,0.0306123022699,0.0052861829959,-0.02947880799,0.0383512862112,0.0215388706282,-0.0130520537212,-0.0372595050308,0.0211306674511,0.0092101951462,-0.146065194778,0.0206412858327,-0.00752605037937,0.0496040975835
[file],[004c9.asc],-0.0234315786602,0.0112141566957,-0.0397075928154,-0.024880228474,0.00153295557415,0.00578316235153,0.0169530818128,0.00677824011355,0.00177505940309,-0.0131727952704,-0.0275636378108,-0.00559342747244,-0.00752605037937,0.0179080430031
[MEAN],-,-0.00749042834015,0.00374426730847,1.72872106473e-05,-0.00340234901963,-0.00251410974029,0.00688821631824,-0.0102378372616,-0.0119536348349,0.00156135237439,-0.0162383415686,-0.025734612985,-0.024952414014,-0.00752605037937,-
[95ci],-,0.0070698947284,0.00694253298814,0.00959137351613,0.0124031209451,0.00958995602915,0.0116238423281,0.00881305087137,0.00827899920197,0.0102426147376,0.0159985597629,0.0179839499224,0.012208488849,-,0.0260675428393
