effect,est,se,t
(Intercept),-0.00755890282203,0.0322406977541,-0.23445220943
saccLat2,-2.46762028743e-05,5.96081522962e-05,-0.41397362481
stim_typeobject,-0.10442062411,0.0495337553521,-2.10807000938
correct_response,-0.00210889648118,0.00355842333234,-0.592649126936
ecc,1.38896106056e-05,8.98257251379e-05,0.154628427261
visual_fieldupper,0.00923406905922,0.00358472985475,2.57594558959
devAngleyes,-0.000950054543748,0.00378060043351,-0.251297263611
saccLat2:stim_typeobject,-4.88824009528e-05,4.39837729987e-05,-1.11137352756
