effect,est,se,t
(Intercept),-0.152841754213,0.0583582408867,-2.61902606883
saccLat2,-0.000126636077496,0.000103743827749,-1.22066131782
response_handright,-0.0138223278487,0.0247617548684,-0.558212772971
y_stim,6.7413452536e-05,8.51754269503e-05,0.791465977333
saccLat2:response_handright,5.08116000107e-05,5.93023372253e-05,0.856822890769
saccLat2:y_stim,-1.25387694437e-07,2.01759474698e-07,-0.621471158291
response_handright:y_stim,-6.82713395862e-05,0.000120997634675,-0.564236976777
saccLat2:response_handright:y_stim,1.12086759102e-07,2.88759476777e-07,0.388166512676
