effect,est,se,t
(Intercept),0.00754751000414,0.00892326373206,0.845823930657
saccLat1,-5.8958017683e-05,5.18814221003e-05,-1.13639941421
stim_typeobject,0.0215897484057,0.0217050185419,0.994689240372
saccLat1:stim_typeobject,-0.000256447691338,4.12009165349e-05,-6.22432006144
