RT,accuracy,aff_lum,block_count,boxHeight,boxWidth,cat,catch_trial,checkFixDotFailed,checkObjectFailed,comp,contrast_side,corrDirection,corrDirectionMask,correct_response,cutoff_warning_msg,dev_for_warning,durCheck1,durCheck2,durationFix1,durationFix2,durationFix3,durationFix4,eTimeSacc1,eTimeSacc2,eTimeSacc3,eTimeSacc4,endX1,endX1Corr,endX1CorrDegrees,endX1CorrMask,endX1CorrMaskDegrees,endX1CorrMaskNorm,endX1CorrNorm,endX1CorrNormToContrast,endX1CorrNormToHandle,endX1Degrees,endX1Norm,endX1NormToContrast,endX1NormToHandle,endX2,endX2Corr,endX2CorrDegrees,endX2CorrMask,endX2CorrMaskDegrees,endX2CorrMaskNorm,endX2CorrNorm,endX2CorrNormToContrast,endX2CorrNormToHandle,endX2Degrees,endX2Norm,endX2NormToContrast,endX2NormToHandle,endX3,endX3Corr,endX3CorrDegrees,endX3CorrMask,endX3CorrMaskDegrees,endX3CorrMaskNorm,endX3CorrNorm,endX3CorrNormToContrast,endX3CorrNormToHandle,endX3Degrees,endX3Norm,endX3NormToContrast,endX3NormToHandle,endX4,endX4Corr,endX4CorrDegrees,endX4CorrMask,endX4CorrMaskDegrees,endX4CorrMaskNorm,endX4CorrNorm,endX4CorrNormToContrast,endX4CorrNormToHandle,endX4Degrees,endX4Norm,endX4NormToContrast,endX4NormToHandle,endXRaw1,endXRaw2,endXRaw3,endXRaw4,endY1,endY1Corr,endY1CorrNorm,endY1Degrees,endY1Norm,endY2,endY2Corr,endY2CorrNorm,endY2Degrees,endY2Norm,endY3,endY3Corr,endY3CorrNorm,endY3Degrees,endY3Norm,endY4,endY4Corr,endY4CorrNorm,endY4Degrees,endY4Norm,endYRaw1,endYRaw2,endYRaw3,endYRaw4,eye_used,file,fixCount,gap,gazeDur,handle_side,jitter_dur,large_fix_col,large_fix_size,latin_square_letter,mask_side,max_dev_fix,max_dev_object,max_samples,min_samples_fix,min_samples_object,n_blink,object,outlier,overall_rep,picture_name,refixProb,rep,response,response_hand,rtFromLanding,rtFromStim,rtFromSuccess,sTimeSacc1,sTimeSacc2,sTimeSacc3,sTimeSacc4,saccCount,saccDur1,saccDur2,saccDur3,saccDur4,saccLandingTime1,saccLandingTime2,saccLandingTime3,saccLandingTime4,saccLat1,saccLat2,saccLat3,saccLat4,scale,scale_item,scaled_height,scaled_width,startX1,startX1Corr,startX1CorrDegrees,startX1CorrMask,startX1CorrMaskDegrees,startX1CorrMaskNorm,startX1CorrNorm,startX1Degrees,startX1Norm,startX2,startX2Corr,startX2CorrDegrees,startX2CorrMask,startX2CorrMaskDegrees,startX2CorrMaskNorm,startX2CorrNorm,startX2Degrees,startX2Norm,startX3,startX3Corr,startX3CorrDegrees,startX3CorrMask,startX3CorrMaskDegrees,startX3CorrMaskNorm,startX3CorrNorm,startX3Degrees,startX3Norm,startX4,startX4Corr,startX4CorrDegrees,startX4CorrMask,startX4CorrMaskDegrees,startX4CorrMaskNorm,startX4CorrNorm,startX4Degrees,startX4Norm,startXRaw1,startXRaw2,startXRaw3,startXRaw4,startY1,startY1Corr,startY1CorrNorm,startY1Degrees,startY1Norm,startY2,startY2Corr,startY2CorrNorm,startY2Degrees,startY2Norm,startY3,startY3Corr,startY3CorrNorm,startY3Degrees,startY3Norm,startY4,startY4Corr,startY4CorrNorm,startY4Degrees,startY4Norm,startYRaw1,startYRaw2,startYRaw3,startYRaw4,stimOnset,subject_parity,symm,timestampFixOnset,timestampResponse,trialId,trial_count,visual_field,xCoG,xCoGMask,xFix1,xFix2,xFix3,xFix4,xStimNormal,yCoG,yCoGMask,yCoGMaskZero,yCoGZero,yFix1,yFix2,yFix3,yFix4,yStimNormal,y_stim,y_stim_degrees,driftCorr,exp,heavySide,half,sacc_dir
140.638232796,1.0,control,5.0,29.3333333333,173.333333333,garage,no,False,False,compatible,control, 'correction smaller than 15', 'correction smaller than 15',6.0,85.0,150.0,542.0,470.0,148.0,349,,,25436395.0,25436569,,,-17.3,-16.0942486794,-0.487704505435,-16.0942486794,-0.487704505435,-0.0928514346886,-0.0928514346886,,0.0928514346886,-0.524242424242,-0.0998076923077,,0.0998076923077,10.8,12.0057513206,0.36381064608,12.0057513206,0.36381064608,0.0692639499268,0.0692639499268,,-0.0692639499268,0.327272727273,0.0623076923077,,-0.0623076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,494.7,522.8,,,70.7,71.9852461995,2.45404248407,2.14242424242,2.41022727273,31.6,32.8852461995,1.12108793862,0.957575757576,1.07727272727,,,,,,,,,,,262.7,223.6,,,undefined,SS04.asc,2.0,zero,497.0,left,430.278676649,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,chisel2,0.0,28.0,asymm_garage_chisel2,1.0,3.0,6.0,left,426.0,612.0,142.0,25436348.0,25436545,,,2.0,47.0,24,,,186.0,360,,,139.0,336,,,3.0,yes,180.0,240.0,-4.0,-2.79424867936,-0.0846742024049,-2.79424867936,-0.0846742024049,-0.0161206654579,-0.0161206654579,-0.121212121212,-0.0230769230769,-21.4,-20.1942486794,-0.611946929678,-20.1942486794,-0.611946929678,-0.116505280842,-0.116505280842,-0.648484848485,-0.123461538462,,,,,,,,,,,,,,,,,,,508.0,490.6,,,201.8,203.0852462,6.92336066589,6.11515151515,6.87954545455,42.9,44.1852461995,1.50631521135,1.3,1.4625,,,,,,,,,,,393.8,234.9,,,25436209.0,even,asymm,25435659.0,25436821.0,1708.0,538.0,upper,-1.20575132064,-1.20575132064,-20.4,4.0,,,512.0,190.7147538,190.7147538,-1.28524619951,-1.28524619951,-147.3,-159.2,,,192.0,192.0,5.0,True,004A,left__,second,646.7
222.588609108,1.0,control,5.0,32.0,176.0,garage,no,False,False,compatible,control, 'correction awayHandle', 'correction awayHandle',6.0,85.0,150.0,551.0,404.0,100.0,173,198,,25440055.0,25440188,25440381,,1.0,-20.1258078553,-0.609872965311,-20.1258078553,-0.609872965311,-0.114351180996,-0.114351180996,,0.114351180996,0.030303030303,0.00568181818182,,-0.00568181818182,19.4,-1.72580785526,-0.0522972077352,-1.72580785526,-0.0522972077352,-0.00980572645035,-0.00980572645035,,0.00980572645035,0.587878787879,0.110227272727,,-0.110227272727,38.1,16.9741921447,0.514369458931,16.9741921447,0.514369458931,0.0964442735496,0.0964442735496,,-0.0964442735496,1.15454545455,0.216477272727,,-0.216477272727,,,,,,,,,,,,,,513.0,531.4,550.1,,-82.1,-83.8018335026,-2.61880729696,-2.48787878788,-2.565625,-37.3,-39.0018335026,-1.21880729696,-1.1303030303,-1.165625,-19.4,-21.1018335026,-0.659432296957,-0.587878787879,-0.60625,,,,,,494.9,539.7,557.6,,undefined,SS04.asc,3.0,overlap,471.0,left,449.701127548,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,wrench,0.0,31.0,asymm_garage_wrench,1.0,4.0,6.0,left,423.0,628.0,224.0,25440012.0,25440157,25440363,,3.0,43.0,31,18,,205.0,338,531,,162.0,307,513,,3.0,yes,180.0,240.0,-10.4,-31.5258078553,-0.955327510766,-31.5258078553,-0.955327510766,-0.179123908269,-0.179123908269,-0.315151515152,-0.0590909090909,-5.1,-26.2258078553,-0.794721450159,-26.2258078553,-0.794721450159,-0.149010271905,-0.149010271905,-0.154545454545,-0.0289772727273,31.4,10.2741921447,0.311339155901,10.2741921447,0.311339155901,0.0583760917315,0.0583760917315,0.951515151515,0.178409090909,,,,,,,,,,501.6,506.9,543.4,,-184.8,-186.501833503,-5.82818229696,-5.6,-5.775,-55.7,-57.4018335026,-1.79380729696,-1.68787878788,-1.740625,-27.3,-29.0018335026,-0.906307296957,-0.827272727273,-0.853125,,,,,,392.2,521.3,549.7,,25439850.0,even,asymm,25439289.0,25440478.0,1709.0,539.0,lower,21.1258078553,21.1258078553,-4.3,28.9,42.1,,512.0,578.701833503,578.701833503,1.70183350261,1.70183350261,133.5,165.0,172.8,,577.0,-193.0,-6.0,True,004A,right__,second,494.9
567.698384223,1.0,control,5.0,27.0,176.333333333,garage,no,False,False,incompatible,control, 'correction towardsHandle', 'correction towardsHandle',6.0,85.0,150.0,515.0,327.0,164.0,609,,,25448286.0,25448471,,,3.5,-50.3138704136,-1.52466273981,-50.3138704136,-1.52466273981,-0.285333858678,-0.285333858678,,-0.285333858678,0.106060606061,0.0198487712665,,0.0198487712665,-11.8,-65.6138704136,-1.98829910344,-65.6138704136,-1.98829910344,-0.372101344501,-0.372101344501,,-0.372101344501,-0.357575757576,-0.0669187145558,,-0.0669187145558,,,,,,,,,,,,,,,,,,,,,,,,,,,515.5,500.2,,,-79.5,-74.0782010861,-2.74363707726,-2.40909090909,-2.94444444444,-30.5,-25.0782010861,-0.928822262449,-0.924242424242,-1.12962962963,,,,,,,,,,,517.5,566.5,,,undefined,SS04.asc,2.0,zero,773.0,right,402.225791787,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,screwdriver,0.0,30.0,asymm_garage_screwdriver,1.0,4.0,6.0,left,702.0,897.0,570.0,25448238.0,25448452,,,2.0,48.0,19,,,195.0,380,,,147.0,361,,,3.0,yes,180.0,240.0,4.9,-48.9138704136,-1.48223849738,-48.9138704136,-1.48223849738,-0.277394350172,-0.277394350172,0.148484848485,0.0277882797732,-4.3,-58.1138704136,-1.76102637617,-58.1138704136,-1.76102637617,-0.329568263215,-0.329568263215,-0.130303030303,-0.0243856332703,,,,,,,,,,,,,,,,,,,516.9,507.7,,,-219.1,-213.678201086,-7.91400744763,-6.63939393939,-8.11481481481,-43.7,-38.2782010861,-1.41771115134,-1.32424242424,-1.61851851852,,,,,,,,,,,377.9,553.3,,,25448091.0,even,asymm,25447570.0,25448988.0,1711.0,541.0,lower,53.8138704136,53.8138704136,-3.9,-10.2,,,512.0,591.578201086,591.578201086,-5.42179891388,-5.42179891388,164.7,183.8,,,597.0,-213.0,-7.0,True,004A,right__,second,517.5
264.616491606,1.0,control,5.0,66.6666666667,162.666666667,garage,no,False,False,incompatible,control, 'correction awayHandle', 'correction awayHandle',6.0,85.0,150.0,455.0,317.0,181.0,296,,,25458429.0,25458625,,,-30.7,5.75250520117,0.174318339429,5.75250520117,0.174318339429,0.0353637614826,0.0353637614826,,0.0353637614826,-0.930303030303,-0.188729508197,,-0.188729508197,-59.8,-23.3474947988,-0.707499842389,-23.3474947988,-0.707499842389,-0.14352968114,-0.14352968114,,-0.14352968114,-1.81212121212,-0.36762295082,,-0.36762295082,,,,,,,,,,,,,,,,,,,,,,,,,,,481.3,452.2,,,38.1,37.683224347,0.565248365205,1.15454545455,0.5715,3.9,3.48322434698,0.0522483652046,0.118181818182,0.0585,,,,,,,,,,,237.1,202.9,,,undefined,SS04.asc,2.0,zero,477.0,right,328.479394476,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,mallet,0.0,30.0,asymm_garage_mallet,1.0,4.0,6.0,left,397.0,584.0,267.0,25458382.0,25458612,,,2.0,47.0,13,,,187.0,383,,,140.0,370,,,3.0,yes,180.0,240.0,-6.6,29.8525052012,0.904621369732,29.8525052012,0.904621369732,0.183519499188,0.183519499188,-0.2,-0.0405737704918,-34.1,2.35250520117,0.0712880363991,2.35250520117,0.0712880363991,0.0144621221383,0.0144621221383,-1.03333333333,-0.209631147541,,,,,,,,,,,,,,,,,,,505.4,477.9,,,188.6,188.183224347,2.8227483652,5.71515151515,2.829,6.3,5.88322434698,0.0882483652046,0.190909090909,0.0945,,,,,,,,,,,387.6,205.3,,,25458242.0,even,asymm,25457782.0,25458826.0,1713.0,543.0,upper,-36.4525052012,-36.4525052012,-34.9,-51.2,,,512.0,199.416775653,199.416775653,0.416775653024,0.416775653024,-177.6,-178.3,,,199.0,185.0,5.0,True,004A,left__,second,621.1
270.440959091,1.0,control,5.0,64.3333333333,165.666666667,garage,no,False,False,compatible,control, 'correction awayHandle', 'correction awayHandle',6.0,85.0,150.0,529.0,297.0,110.0,376,,,25484326.0,25484468,,,13.1,-36.1380396484,-1.09509211056,-36.1380396484,-1.09509211056,-0.218137060252,-0.218137060252,,0.218137060252,0.39696969697,0.0790744466801,,-0.0790744466801,26.0,-23.2380396484,-0.70418301965,-23.2380396484,-0.70418301965,-0.140269857033,-0.140269857033,,0.140269857033,0.787878787879,0.156941649899,,-0.156941649899,,,,,,,,,,,,,,,,,,,,,,,,,,,525.1,538.0,,,-79.2,-85.0504250274,-1.32202733203,-2.4,-1.2310880829,-31.4,-37.2504250274,-0.579022150685,-0.951515151515,-0.488082901554,,,,,,,,,,,491.8,539.6,,,undefined,SS04.asc,2.0,zero,486.0,left,419.287709493,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,hammer,0.0,31.0,asymm_garage_hammer,1.0,5.0,6.0,left,418.0,569.0,272.0,25484284.0,25484438,,,2.0,42.0,30,,,151.0,293,,,109.0,263,,,3.0,yes,180.0,240.0,-5.1,-54.3380396484,-1.64660726207,-54.3380396484,-1.64660726207,-0.327996215182,-0.327996215182,-0.154545454545,-0.0307847082495,11.4,-37.8380396484,-1.14660726207,-37.8380396484,-1.14660726207,-0.228398629669,-0.228398629669,0.345454545455,0.0688128772636,,,,,,,,,,,,,,,,,,,506.9,523.4,,,-176.0,-181.850425027,-2.82669054447,-5.33333333333,-2.73575129534,-50.1,-55.9504250274,-0.869695725815,-1.51818181818,-0.778756476684,,,,,,,,,,,395.0,520.9,,,25484175.0,even,asymm,25483634.0,25484744.0,1718.0,548.0,lower,49.2380396484,49.2380396484,11.5,33.8,,,512.0,576.850425027,576.850425027,5.8504250274,5.8504250274,133.7,162.2,,,571.0,-187.0,-6.0,True,004A,right__,second,491.8
235.466933331,1.0,control,5.0,29.3333333333,173.333333333,garage,no,False,False,incompatible,control, 'correction smaller than 15', 'correction smaller than 15',6.0,85.0,150.0,451.0,392.0,78.0,192,239,,25509151.0,25509265,25509478,,-4.1,-5.30575132064,-0.16078034305,-5.30575132064,-0.16078034305,-0.0306101037729,-0.0306101037729,,-0.0306101037729,-0.124242424242,-0.0236538461538,,-0.0236538461538,-21.1,-22.3057513206,-0.675931858201,-22.3057513206,-0.675931858201,-0.12868702685,-0.12868702685,,-0.12868702685,-0.639393939394,-0.121730769231,,-0.121730769231,-49.8,-51.0057513206,-1.5456288279,-51.0057513206,-1.5456288279,-0.294263949927,-0.294263949927,,-0.294263949927,-1.50909090909,-0.287307692308,,-0.287307692308,,,,,,,,,,,,,,507.9,490.9,462.2,,-109.5,-108.2147538,-3.68913933411,-3.31818181818,-3.73295454545,-30.4,-29.1147538005,-0.992548425017,-0.921212121212,-1.03636363636,-1.8,-0.514753800494,-0.0175484250168,-0.0545454545455,-0.0613636363636,,,,,,500.5,579.6,608.2,,undefined,SS04.asc,3.0,zero,509.0,right,329.599690474,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,chisel2,0.0,29.0,asymm_garage_chisel2,1.0,4.0,6.0,left,465.0,629.0,237.0,25509107.0,25509231,25509459,,3.0,44.0,34,19,,164.0,278,491,,120.0,244,472,,3.0,yes,180.0,240.0,-5.2,-6.40575132064,-0.194113676383,-6.40575132064,-0.194113676383,-0.0369562576191,-0.0369562576191,-0.157575757576,-0.03,-7.1,-8.30575132064,-0.251689433959,-8.30575132064,-0.251689433959,-0.0479177960806,-0.0479177960806,-0.215151515152,-0.0409615384615,-22.0,-23.2057513206,-0.703204585474,-23.2057513206,-0.703204585474,-0.133879334542,-0.133879334542,-0.666666666667,-0.126923076923,,,,,,,,,,506.8,504.9,490.0,,-214.9,-213.6147538,-7.28232115229,-6.51212121212,-7.32613636364,-81.4,-80.1147538005,-2.73118478865,-2.46666666667,-2.775,-14.6,-13.3147538005,-0.45391206138,-0.442424242424,-0.497727272727,,,,,,395.1,528.6,595.4,,25508987.0,even,asymm,25508527.0,25509616.0,1723.0,553.0,lower,1.20575132064,1.20575132064,-6.7,-23.0,-42.4,,512.0,608.7147538,608.7147538,-1.28524619951,-1.28524619951,141.8,209.6,220.0,,610.0,-226.0,-7.0,True,004A,right__,second,500.5
665.047456786,1.0,control,5.0,24.0,181.333333333,kitchen,no,False,False,incompatible,control, 'correction towardsHandle', 'correction towardsHandle',7.0,85.0,150.0,529.0,301.0,147.0,251,429,,25523634.0,25523796,25524070,,-6.5,15.2534568235,0.46222596435,15.2534568235,0.46222596435,0.084118328071,0.084118328071,,-0.084118328071,-0.19696969697,-0.0358455882353,,0.0358455882353,-28.0,-6.24654317645,-0.189289187165,-6.24654317645,-0.189289187165,-0.0344478483996,-0.0344478483996,,0.0344478483996,-0.848484848485,-0.154411764706,,0.154411764706,-51.8,-30.0465431765,-0.910501308377,-30.0465431765,-0.910501308377,-0.1656978484,-0.1656978484,,0.1656978484,-1.5696969697,-0.285661764706,,0.285661764706,,,,,,,,,,,,,,505.5,484.0,460.2,,-63.8,-56.3597742043,-2.34832392518,-1.93333333333,-2.65833333333,-14.0,-6.55977420428,-0.273323925178,-0.424242424242,-0.583333333333,-18.8,-11.3597742043,-0.473323925178,-0.569696969697,-0.783333333333,,,,,,516.2,566.0,561.2,,undefined,SS04.asc,3.0,overlap,827.0,left,405.699875794,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,sharpeningsteel,0.0,33.0,asymm_kitchen_sharpeningsteel,1.0,6.0,7.0,right,773.0,968.0,667.0,25523585.0,25523783,25524049,,3.0,49.0,13,21,,195.0,357,631,,146.0,344,610,,3.0,yes,180.0,240.0,2.7,24.4534568235,0.741013843138,24.4534568235,0.741013843138,0.134853622189,0.134853622189,0.0818181818182,0.0148897058824,-11.6,10.1534568235,0.307680509804,10.1534568235,0.307680509804,0.055993328071,0.055993328071,-0.351515151515,-0.0639705882353,-19.9,1.85345682355,0.0561653582893,1.85345682355,0.0561653582893,0.0102212692475,0.0102212692475,-0.60303030303,-0.109742647059,,,,,,,,,,514.7,500.4,492.1,,-192.0,-184.559774204,-7.68999059184,-5.81818181818,-8.0,-34.8,-27.3597742043,-1.13999059184,-1.05454545455,-1.45,-19.7,-12.2597742043,-0.510823925178,-0.59696969697,-0.820833333333,,,,,,388.0,545.2,560.3,,25523439.0,even,asymm,25522899.0,25524407.0,1726.0,556.0,lower,-21.7534568235,-21.7534568235,-11.9,-21.3,-47.9,,512.0,572.559774204,572.559774204,-7.44022579572,-7.44022579572,156.6,176.3,177.2,,580.0,-196.0,-6.0,True,004A,left__,second,516.2
0.842796670739,1.0,control,5.0,21.3333333333,176.333333333,kitchen,no,False,False,incompatible,control, 'correction smaller than 15', 'correction smaller than 15',7.0,85.0,150.0,463.0,800.0,244.0,481,,,25537102.0,25537369,,,-23.2,-21.3847589548,-0.648022998631,-21.3847589548,-0.648022998631,-0.121274625453,-0.121274625453,,0.121274625453,-0.70303030303,-0.13156899811,,0.13156899811,-3.0,-1.18475895483,-0.0359017865099,-1.18475895483,-0.0359017865099,-0.00671885985724,-0.00671885985724,,0.00671885985724,-0.0909090909091,-0.0170132325142,,0.0170132325142,,,,,,,,,,,,,,,,,,,,,,,,,,,488.8,509.0,,,54.8,62.6248962657,2.93554201246,1.66060606061,2.56875,27.8,35.6248962657,1.66991701246,0.842424242424,1.303125,,,,,,,,,,,254.8,227.8,,,undefined,SS04.asc,2.0,zero,725.0,left,337.608649042,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,knife,0.0,30.0,asymm_kitchen_knife,1.0,5.0,7.0,right,650.0,802.0,2.0,25537053.0,25537348,,,2.0,49.0,21,,,152.0,419,,,103.0,398,,,3.0,yes,180.0,240.0,-3.0,-1.18475895483,-0.0359017865099,-1.18475895483,-0.0359017865099,-0.00671885985724,-0.00671885985724,-0.0909090909091,-0.0170132325142,-24.1,-22.2847589548,-0.675295725904,-22.2847589548,-0.675295725904,-0.126378595207,-0.126378595207,-0.730303030303,-0.136672967864,,,,,,,,,,,,,,,,,,,509.0,487.9,,,183.6,191.424896266,8.97304201246,5.56363636364,8.60625,30.3,38.1248962657,1.78710451246,0.918181818182,1.4203125,,,,,,,,,,,383.6,230.3,,,25536950.0,even,asymm,25536480.0,25537752.0,1729.0,559.0,upper,-1.81524104517,-1.81524104517,-25.8,-2.7,,,512.0,192.175103734,192.175103734,-7.82489626572,-7.82489626572,-154.4,-155.7,,,200.0,184.0,5.0,True,004A,left__,second,638.8
358.536528297,1.0,control,5.0,32.0,176.0,garage,no,False,False,incompatible,control, 'correction awayHandle', 'correction awayHandle',6.0,85.0,150.0,526.0,383.0,82.0,177,375,,25545877.0,25545994,25546186,,-13.4,7.72580785526,0.234115389553,7.72580785526,0.234115389553,0.0438966355413,0.0438966355413,,0.0438966355413,-0.406060606061,-0.0761363636364,,-0.0761363636364,-44.5,-23.3741921447,-0.708308852871,-23.3741921447,-0.708308852871,-0.132807909913,-0.132807909913,,-0.132807909913,-1.34848484848,-0.252840909091,,-0.252840909091,-76.4,-55.2741921447,-1.67497551954,-55.2741921447,-1.67497551954,-0.314057909913,-0.314057909913,,-0.314057909913,-2.31515151515,-0.434090909091,,-0.434090909091,,,,,,,,,,,,,,498.6,467.5,435.6,,70.3,68.5981664974,2.14369270304,2.1303030303,2.196875,19.5,17.7981664974,0.556192703043,0.590909090909,0.609375,7.0,5.29816649739,0.165567703043,0.212121212121,0.21875,,,,,,250.3,199.5,187.0,,undefined,SS04.asc,3.0,zero,634.0,right,404.91142934,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,wrench,0.0,32.0,asymm_garage_wrench,1.0,5.0,6.0,left,587.0,743.0,360.0,25545829.0,25545961,25546173,,3.0,48.0,33,13,,156.0,273,465,,108.0,240,452,,3.0,yes,180.0,240.0,-8.2,12.9258078553,0.391691147129,12.9258078553,0.391691147129,0.0734420900867,0.0734420900867,-0.248484848485,-0.0465909090909,-16.8,4.32580785526,0.131085086523,4.32580785526,0.131085086523,0.0245784537231,0.0245784537231,-0.509090909091,-0.0954545454545,-51.9,-30.7741921447,-0.932551277113,-30.7741921447,-0.932551277113,-0.174853364459,-0.174853364459,-1.57272727273,-0.294886363636,,,,,,,,,,503.8,495.2,460.1,,202.6,200.898166497,6.27806770304,6.13939393939,6.33125,41.7,39.9981664974,1.24994270304,1.26363636364,1.303125,13.5,11.7981664974,0.368692703043,0.409090909091,0.421875,,,,,,382.6,221.7,193.5,,25545721.0,even,asymm,25545191.0,25546464.0,1731.0,561.0,upper,-21.1258078553,-21.1258078553,-16.0,-51.0,-68.3,,512.0,181.701833503,181.701833503,1.70183350261,1.70183350261,-160.4,-191.0,-191.5,,180.0,204.0,6.0,True,004A,left__,second,634.3
260.531824573,1.0,control,5.0,64.3333333333,165.666666667,garage,no,False,False,incompatible,control, 'correction awayHandle', 'correction awayHandle',6.0,85.0,150.0,548.0,328.0,137.0,340,,,25575164.0,25575325,,,-25.8,23.4380396484,0.71024362571,23.4380396484,0.71024362571,0.141477100494,0.141477100494,,0.141477100494,-0.781818181818,-0.155734406439,,-0.155734406439,-54.1,-4.86196035156,-0.147332131865,-4.86196035156,-0.147332131865,-0.0293478492046,-0.0293478492046,,-0.0293478492046,-1.63939393939,-0.326559356137,,-0.326559356137,,,,,,,,,,,,,,,,,,,,,,,,,,,486.2,457.9,,,-83.1,-88.9504250274,-1.38264909369,-2.51818181818,-1.29170984456,-27.5,-33.3504250274,-0.518400389027,-0.833333333333,-0.427461139896,,,,,,,,,,,501.9,557.5,,,undefined,SS04.asc,2.0,overlap,477.0,right,424.687455899,black,32.0,B,control,25.0,50.0,4000.0,50.0,50.0,0.0,hammer,0.0,32.0,asymm_garage_hammer,1.0,6.0,6.0,left,400.0,590.0,262.0,25575118.0,25575303,,,2.0,46.0,22,,,190.0,351,,,144.0,329,,,3.0,yes,180.0,240.0,-5.3,43.9380396484,1.33145574692,43.9380396484,1.33145574692,0.265219555222,0.265219555222,-0.160606060606,-0.0319919517103,-35.0,14.2380396484,0.431455746923,14.2380396484,0.431455746923,0.0859439012984,0.0859439012984,-1.06060606061,-0.211267605634,,,,,,,,,,,,,,,,,,,506.7,477.0,,,-209.4,-215.250425027,-3.34586152892,-6.34545454545,-3.25492227979,-52.5,-58.3504250274,-0.907001425296,-1.59090909091,-0.816062176166,,,,,,,,,,,375.6,532.5,,,25574974.0,even,asymm,25574414.0,25575564.0,1737.0,567.0,lower,-49.2380396484,-49.2380396484,-33.8,-49.0,,,512.0,590.850425027,590.850425027,5.8504250274,5.8504250274,148.6,170.8,,,585.0,-201.0,-6.0,True,004A,left__,second,501.9
273.718089338,1.0,control,5.0,32.3333333333,187.0,kitchen,no,False,False,incompatible,control, 'correction awayHandle', 'correction awayHandle',7.0,85.0,150.0,534.0,335.0,155.0,328,,,25612759.0,25612940,,,12.4,-19.7684136693,-0.599042838462,-19.7684136693,-0.599042838462,-0.105713442082,-0.105713442082,,0.105713442082,0.375757575758,0.0663101604278,,-0.0663101604278,30.7,-1.46841366925,-0.0444973839167,-1.46841366925,-0.0444973839167,-0.00785247951471,-0.00785247951471,,0.00785247951471,0.930303030303,0.164171122995,,-0.164171122995,,,,,,,,,,,,,,,,,,,,,,,,,,,524.4,542.7,,,-81.6,-80.5512786049,-2.49127665788,-2.47272727273,-2.52371134021,-32.3,-31.2512786049,-0.966534389841,-0.978787878788,-0.998969072165,,,,,,,,,,,502.4,551.7,,,undefined,SS04.asc,2.0,overlap,483.0,left,420.184205634,black,32.0,A,control,25.0,50.0,4000.0,50.0,50.0,0.0,fork,0.0,31.0,asymm_kitchen_fork,1.0,5.0,7.0,right,409.0,610.0,275.0,25612713.0,25612916,,,2.0,46.0,24,,,201.0,382,,,155.0,358,,,3.0,yes,180.0,240.0,0.8,-31.3684136693,-0.950557989977,-31.3684136693,-0.950557989977,-0.167745527643,-0.167745527643,0.0242424242424,0.00427807486631,6.2,-25.9684136693,-0.786921626341,-25.9684136693,-0.786921626341,-0.138868522295,-0.138868522295,0.187878787879,0.0331550802139,,,,,,,,,,,,,,,,,,,512.8,518.2,,,-196.3,-195.251278605,-6.03869933829,-5.94848484848,-6.07113402062,-55.2,-54.1512786049,-1.67478181252,-1.67272727273,-1.70721649485,,,,,,,,,,,387.7,528.8,,,25612558.0,even,asymm,25612018.0,25613168.0,1743.0,573.0,lower,32.1684136693,32.1684136693,7.2,31.6,,,512.0,582.951278605,582.951278605,-1.04872139513,-1.04872139513,146.7,165.3,,,584.0,-200.0,-6.0,True,004A,right__,second,502.4
