effect,est,ci95lo,ci95up,p
(Intercept),0.0254810849172,0.0122326802018,0.0394590234688,0.000154902750741
saccLat1,-7.98857485693e-05,-0.000147947621094,-7.63780957557e-06,0.0250334785832
response_handright,-0.0015742205716,-0.0081254186311,0.00512649964981,0.639342417014
handle_sideright,-0.0018530544183,-0.00865424229609,0.00456413951529,0.581277121036
y_stim,2.06607547848e-05,4.20178564413e-06,3.64812692375e-05,0.0124591551375
